date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:14	198/198	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2001%20May%202019%2021:09:20%20GMT	https://stenungsundsbi.se/onewebstatic/a62bc02957.svg	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/a62bc02957.svg	(from https://stenungsundsbi.se/onewebstatic/0a0ab38859.css)
13:18:15	807611/807611	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/Bibladet%202013-2.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/Bibladet%202013-2.pdf	(from https://stenungsundsbi.se/about/services.html)
13:18:15	1018121/1018121	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/Bibladet%202016_web.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/Bibladet%202016_web.pdf	(from https://stenungsundsbi.se/about/services.html)
13:18:15	448857/448857	URF---	200	added ('OK%20(cached)')	application/pdf		https://stenungsundsbi.se/onewebmedia/blad2007.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/blad2007.pdf	(from https://stenungsundsbi.se/about/services.html)
13:18:15	132186/132186	URF---	200	added ('OK%20(cached)')	image/png		https://stenungsundsbi.se/____impro/1/onewebmedia/Mariag%c3%a5rden.PNG?etag=W%2F%221ac46-5cca07fe%22&sourceContentType=image%2Fpng&ignoreAspectRatio&resize=778%2B451&extract=0%2B0%2B778%2B332	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/Mariag%c3%a5rdenae2f.png	(from https://stenungsundsbi.se/contact.html)
13:18:16	16203/16203	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/ann-britt.carlsson.jpg?etag=W%2F%22daa5-608f0135%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=260%2B260&extract=3%2B14%2B246%2B245&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/ann-britt.carlsson084c.jpg	(from https://stenungsundsbi.se/blandat.html)
13:18:16	65168/65168	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/DSCN1388-1.JPG?etag=%2238e49-5c582e24%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=600%2B450&extract=0%2B0%2B600%2B266&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/DSCN1388-13935.jpg	(from https://stenungsundsbi.se/contact.html)
13:18:16	1167322/1167322	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/20150714_114130.jpg?etag=%222f0c15-5c58465b%22&sourceContentType=image%2Fjpeg&quality=80	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/20150714_114130006d.jpg	(from https://stenungsundsbi.se/contact.html)
13:18:16	207/207	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2001%20May%202019%2021:09:20%20GMT	https://stenungsundsbi.se/onewebstatic/7b308300e3.svg	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/7b308300e3.svg	(from https://stenungsundsbi.se/onewebstatic/0a0ab38859.css)
13:18:17	2545/2545	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/bikuporna-1.jpg?etag=%2240eca-5c585f60%22&sourceContentType=image%2Fjpeg&quality=85&withoutEnlargement&resize=80	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/bikuporna-1cc3e.jpg	(from https://stenungsundsbi.se/blandat.html)
